time_idx,tempmax,humidity,precip,precipcover,cloudcover,windspeed,visibility,sealevelpressure,uvindex,sunset_minutes,month,weekday,year,snow,snowdepth,total_rentals_lag_1,total_rentals_lag_7,station_31125.0,station_31200.0,station_31201.0,station_31202.0,station_31203.0,station_31214.0,station_31229.0,station_31247.0,station_31248.0,station_31258.0,station_31266.0,station_31281.0,station_31288.0,station_31289.0,station_31600.0,station_31603.0,station_31613.0,station_31623.0,station_31627.0,total_rentals,split,start_station_id_raw
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,40.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,train,31203.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,train,31214.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,57.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,train,31229.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,105.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,train,31247.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,83.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,train,31248.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,95.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,train,31258.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,56.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,train,31266.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,train,31281.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,104.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,train,31288.0
10.0,16.6,53.2,0.479,8.33,73.9,38.9,16.0,1014.8,4.0,1210.0,5.0,0.0,2020.0,0.0,0.0,72.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18,train,31289.0
