day_of_month_int,mae,rmse,mean_residual,mean_actual,mean_prediction,n,model
22,16.424054851025158,20.67937027889573,4.871805339026899,87.95,92.8218053390269,160,Lasso
23,18.144136715643533,25.181736593499263,4.060126757443786,90.91823899371069,94.97836575115448,159,Lasso
24,17.381845166122343,21.62586854070049,-7.482337115440587,104.15723270440252,96.67489558896193,159,Lasso
25,15.398858549413836,22.56744637518378,0.289449170279567,97.3,97.58944917027956,160,Lasso
26,19.317943430959225,25.557242874850395,-4.363453634183299,103.9119496855346,99.5484960513513,159,Lasso
27,21.776057240207034,27.921796838674904,2.5818458434579346,94.55345911949685,97.13530496295479,159,Lasso
28,19.22835939928175,25.758488857278245,-2.0316410856065286,96.125,94.09335891439346,160,Lasso
29,19.336313536100818,25.152062575861002,4.725466520915666,91.09375,95.81921652091566,160,Lasso
30,17.379602390105923,26.253088746096374,-6.535278487208392,103.2158273381295,96.68054885092111,139,Lasso
31,14.907142561188405,19.378651196514266,-0.2111635176620412,105.99,105.77883648233795,100,Lasso
